appid,name,key_0,game_name,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404,parsed_name_x,parsed_name_y
1824220,Chivalry 2,chivalry2,Chivalry 2,45,82,5,/game/pc/chivalry-2/critic-reviews,83.0,,,,,,,,,,,90.0,,,,80.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,81.0,,,,,,,90.0,,,,83.0,,70.0,80.0,80.0,,,,,,,,,,,88.0,,90.0,,85.0,,70.0,,,,,90.0,,,,,80.0,,,90.0,,80.0,,,,,,,80.0,85.0,83.0,,,80.0,80.0,60.0,,,91.0,70.0,80.0,80.0,,90.0,,,,,,,,,,,,,80.0,90.0,,,,,80.0,,,,88.0,80.0,,,,,,,,,,,,,80.0,,,,,,90.0,83.0,,,,Chivalry2,Chivalry2
1716120,Monster Rancher 1 & 2 DX,monsterrancher1&2dx,Monster Rancher 1 & 2 DX,294,61,7.5,/game/pc/monster-rancher-1-2-dx/critic-reviews,,,,,,,,,,,,,,,,60.0,,,,,,,,,85.0,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,MonsterRancher1&2DX,MonsterRancher1&2DX
1665460,eFootball™ 2022,efootball2022,eFootball 2022,320,25,1.4,/game/pc/efootball-2022/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,28.0,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,20.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,eFootball2022,eFootball2022
1659040,HITMAN 3,hitman3,Hitman 3,8,87,7.4,/game/pc/hitman-3/critic-reviews,,,,,,,100.0,,,,,90.0,,,,,70.0,,,,,,90.0,,,,80.0,,80.0,,,,80.0,80.0,,,86.0,90.0,,90.0,90.0,90.0,,,85.0,,,80.0,,,90.0,,,,,90.0,84.0,90.0,90.0,,,,,,,85.0,,100.0,,90.0,,,,,,,,,,,,,90.0,,,80.0,,,,,,85.0,85.0,,,90.0,,,,90.0,96.0,87.0,85.0,,85.0,85.0,,,90.0,90.0,90.0,85.0,80.0,90.0,,,100.0,85.0,,,,,,90.0,80.0,,,90.0,90.0,,,70.0,,88.0,70.0,,90.0,90.0,,,,,80.0,,89.0,90.0,,,,100.0,80.0,,,,,,,,,,85.0,,Hitman3,HITMAN3
1651960,Hextech Mayhem: A League of Legends Story™,hextechmayhemaleagueoflegendsstory,Hextech Mayhem: A League of Legends Story,206,72,7.3,/game/pc/hextech-mayhem-a-league-of-legends-story/critic-reviews,,,,,,,,,,,,,,71.0,,,,,,,,,80.0,80.0,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,70.0,,,,,,,,,,,,,70.0,,,,,80.0,,,,,,,,,,,,,63.0,,,,50.0,,,,,,,,,,77.0,,,,,,,80.0,,,,,,,70.0,,,,,,,,,,,HextechMayhemALeagueofLegendsStory,HextechMayhemALeagueofLegendsStory
1647730,Zool Redimensioned,zoolredimensioned,Zool Redimensioned,275,65,7.6,/game/pc/zool-redimensioned/critic-reviews,,,,,,,,,,,,,,,,,,,70.0,,,,70.0,,,,,,,,,,,,60.0,,,,,,,,,,,,,,65.0,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,80.0,,,,,,,,,,,,70.0,40.0,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,ZoolRedimensioned,ZoolRedimensioned
1634150,Behind the Frame: The Finest Scenery,behindtheframethefinestscenery,Behind the Frame: The Finest Scenery,198,73,8.3,/game/pc/behind-the-frame-the-finest-scenery/critic-reviews,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,70.0,,,,,,,,70.0,,,,,,,,,,,,,80.0,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,BehindtheFrameTheFinestScenery,BehindtheFrameTheFinestScenery
1622100,Outer Wilds - Echoes of the Eye,outerwildsechoesoftheeye,Outer Wilds: Echoes of the Eye,52,82,8.7,/game/pc/outer-wilds-echoes-of-the-eye/critic-reviews,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,70.0,,,,,,,90.0,,,,,,,,,80.0,,,,,,,,,,80.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OuterWildsEchoesoftheEye,OuterWildsEchoesoftheEye
1611940,Maneater: Truth Quest,maneatertruthquest,Maneater: Truth Quest,270,66,4,/game/pc/maneater-truth-quest/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,75.0,,,,,,,60.0,,70.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ManeaterTruthQuest,ManeaterTruthQuest
1608550,Firegirl: Hack 'n Splash Rescue,firegirlhacknsplashrescue,Firegirl: Hack 'n Splash Rescue,278,65,tbd,/game/pc/firegirl-hack-n-splash-rescue/critic-reviews,,,,,,,,,,,,,,65.0,,,,,,,,,60.0,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,85.0,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,FiregirlHacknSplashRescue,FiregirlHacknSplashRescue
